Competitor Component Name (1890),Competitor CVEs,Confidence,Sonatype Component Name (3279),Sonatype CVEs,Sonatype Occurence Path
vaadin-themable-mixin:1.6.2,,10,@vaadin/vaadin-themable-mixin:1.6.2,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-themable-mixin@1.6.2
vaadin-time-picker:2.4.0,,10,@vaadin/vaadin-time-picker:2.4.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-time-picker@2.4.0
vaadin-usage-statistics:2.1.2,,10,@vaadin/vaadin-usage-statistics:2.1.2,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-usage-statistics@2.1.2
compiler-core:3.2.47,,10,@vue/compiler-core:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-core@3.2.47
compiler-core:3.3.13,,10,@vue/compiler-core:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-core@3.3.13
compiler-core:3.4.38,,10,@vue/compiler-core:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-core@3.4.38
compiler-dom:3.2.47,,10,@vue/compiler-dom:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-dom@3.2.47
compiler-dom:3.3.13,,10,@vue/compiler-dom:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-dom@3.3.13
compiler-dom:3.4.38,,10,@vue/compiler-dom:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-dom@3.4.38
compiler-sfc:2.7.16,,10,@vue/compiler-sfc:2.7.16,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-sfc@2.7.16
compiler-sfc:3.2.47,,10,@vue/compiler-sfc:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-sfc@3.2.47
compiler-sfc:3.3.13,,10,@vue/compiler-sfc:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-sfc@3.3.13
compiler-sfc:3.4.38,,10,@vue/compiler-sfc:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-sfc@3.4.38
compiler-ssr:3.2.47,,10,@vue/compiler-ssr:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-ssr@3.2.47
compiler-ssr:3.3.13,,10,@vue/compiler-ssr:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-ssr@3.3.13
compiler-ssr:3.4.38,,10,@vue/compiler-ssr:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\compiler-ssr@3.4.38
devtools-api:6.6.3,,10,@vue/devtools-api:6.6.3,,sonatype-build.spdx.json/pkg:npm\%40vue\devtools-api@6.6.3
reactivity-transform:3.2.47,,10,@vue/reactivity-transform:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\reactivity-transform@3.2.47
reactivity-transform:3.3.13,,10,@vue/reactivity-transform:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\reactivity-transform@3.3.13
reactivity:3.2.47,,10,@vue/reactivity:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\reactivity@3.2.47
reactivity:3.3.13,,10,@vue/reactivity:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\reactivity@3.3.13
reactivity:3.4.38,,10,@vue/reactivity:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\reactivity@3.4.38
runtime-core:3.2.47,,10,@vue/runtime-core:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\runtime-core@3.2.47
runtime-core:3.3.13,,10,@vue/runtime-core:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\runtime-core@3.3.13
runtime-core:3.4.38,,10,@vue/runtime-core:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\runtime-core@3.4.38
runtime-dom:3.2.47,,10,@vue/runtime-dom:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\runtime-dom@3.2.47
runtime-dom:3.3.13,,10,@vue/runtime-dom:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\runtime-dom@3.3.13
runtime-dom:3.4.38,,10,@vue/runtime-dom:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\runtime-dom@3.4.38
server-renderer:3.2.47,,10,@vue/server-renderer:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\server-renderer@3.2.47
server-renderer:3.3.13,,10,@vue/server-renderer:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\server-renderer@3.3.13
server-renderer:3.4.38,,10,@vue/server-renderer:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\server-renderer@3.4.38
shared:3.2.47,,10,@vue/shared:3.2.47,,sonatype-build.spdx.json/pkg:npm\%40vue\shared@3.2.47
shared:3.3.13,,10,@vue/shared:3.3.13,,sonatype-build.spdx.json/pkg:npm\%40vue\shared@3.3.13
shared:3.4.38,,10,@vue/shared:3.4.38,,sonatype-build.spdx.json/pkg:npm\%40vue\shared@3.4.38
shadycss:1.8.0,,10,@webcomponents/shadycss:1.8.0,,sonatype-build.spdx.json/pkg:npm\%40webcomponents\shadycss@1.8.0
shadycss:1.9.0,,10,@webcomponents/shadycss:1.9.0,,sonatype-build.spdx.json/pkg:npm\%40webcomponents\shadycss@1.9.0
webcomponentsjs:2.8.0,,10,@webcomponents/webcomponentsjs:2.8.0,,sonatype-build.spdx.json/pkg:a-name\%40webcomponents\webcomponentsjs@2.8.0
a-sync-waterfall:1.0.1,,10,a-sync-waterfall:1.0.1,,sonatype-build.spdx.json/pkg:npm\a-sync-waterfall@1.0.1
abab:2.0.6,,10,abab:2.0.6,,sonatype-build.spdx.json/pkg:npm\abab@2.0.6
abbrev:1.1.1,,10,abbrev:1.1.1,,sonatype-build.spdx.json/pkg:npm\abbrev@1.1.1
