Competitor Component Name (1605),Competitor CVEs,Confidence,Sonatype Component Name (1466),Sonatype CVEs,Sonatype Occurence Path
@react-navigation/native:5.8.4,,10,@react-navigation/native:5.8.4,,./yarn.lock/@react-navigation\native:5.8.4
@react-navigation/routers:5.5.1,,10,@react-navigation/routers:5.5.1,,./yarn.lock/@react-navigation\routers:5.5.1
@react-navigation/stack:5.12.1,,10,@react-navigation/stack:5.12.1,,./yarn.lock/@react-navigation\stack:5.12.1
@sindresorhus/is:0.7.0,,10,@sindresorhus/is:0.7.0,,./yarn.lock/@sindresorhus\is:0.7.0
@types/color-name:1.1.1,,10,@types/color-name:1.1.1,,./yarn.lock/@types\color-name:1.1.1
@types/events:3.0.0,,10,@types/events:3.0.0,,./yarn.lock/@types\events:3.0.0
@types/glob:7.1.1,,10,@types/glob:7.1.1,,./yarn.lock/@types\glob:7.1.1
@types/hammerjs:2.0.36,,10,@types/hammerjs:2.0.36,,./yarn.lock/@types\hammerjs:2.0.36
@types/istanbul-lib-coverage:2.0.1,,10,@types/istanbul-lib-coverage:2.0.1,,./yarn.lock/@types\istanbul-lib-coverage:2.0.1
@types/istanbul-lib-report:3.0.0,,10,@types/istanbul-lib-report:3.0.0,,./yarn.lock/@types\istanbul-lib-report:3.0.0
@types/istanbul-reports:1.1.1,,10,@types/istanbul-reports:1.1.1,,./yarn.lock/@types\istanbul-reports:1.1.1
@types/minimatch:3.0.3,,10,@types/minimatch:3.0.3,,./yarn.lock/@types\minimatch:3.0.3
@types/node:14.0.1,,10,@types/node:14.0.1,,./yarn.lock/@types\node:14.0.1
@types/normalize-package-data:2.4.0,,10,@types/normalize-package-data:2.4.0,,./yarn.lock/@types\normalize-package-data:2.4.0
@types/stack-utils:1.0.1,,10,@types/stack-utils:1.0.1,,./yarn.lock/@types\stack-utils:1.0.1
@types/yargs-parser:15.0.0,,10,@types/yargs-parser:15.0.0,,./yarn.lock/@types\yargs-parser:15.0.0
@types/yargs:13.0.8,,10,@types/yargs:13.0.8,,./yarn.lock/@types\yargs:13.0.8
@types/yargs:15.0.4,,10,@types/yargs:15.0.4,,./yarn.lock/@types\yargs:15.0.4
JSONStream:1.3.5,,10,JSONStream:1.3.5,,./yarn.lock/JSONStream:1.3.5
abort-controller:3.0.0,,10,abort-controller:3.0.0,,./yarn.lock/abort-controller:3.0.0
absolute-path:0.0.0,,10,absolute-path:0.0.0,,./yarn.lock/absolute-path:0.0.0
accepts:1.3.5,,10,accepts:1.3.5,,./yarn.lock/accepts:1.3.5
aggregate-error:3.0.1,,10,aggregate-error:3.0.1,,./yarn.lock/aggregate-error:3.0.1
ajv:6.12.2,,10,ajv:6.12.2,CVE-2020-15366,./yarn.lock/ajv:6.12.2
anser:1.4.9,,10,anser:1.4.9,,./yarn.lock/anser:1.4.9
ansi-align:2.0.0,,10,ansi-align:2.0.0,,./yarn.lock/ansi-align:2.0.0
ansi-colors:1.1.0,,10,ansi-colors:1.1.0,,./yarn.lock/ansi-colors:1.1.0
ansi-cyan:0.1.1,,10,ansi-cyan:0.1.1,,./yarn.lock/ansi-cyan:0.1.1
ansi-escapes:1.4.0,,10,ansi-escapes:1.4.0,,./yarn.lock/ansi-escapes:1.4.0
ansi-escapes:3.1.0,,10,ansi-escapes:3.1.0,,./yarn.lock/ansi-escapes:3.1.0
ansi-escapes:3.2.0,,10,ansi-escapes:3.2.0,,./yarn.lock/ansi-escapes:3.2.0
ansi-escapes:4.3.1,,10,ansi-escapes:4.3.1,,./yarn.lock/ansi-escapes:4.3.1
ansi-fragments:0.2.1,,10,ansi-fragments:0.2.1,,./yarn.lock/ansi-fragments:0.2.1
ansi-gray:0.1.1,,10,ansi-gray:0.1.1,,./yarn.lock/ansi-gray:0.1.1
ansi-red:0.1.1,,10,ansi-red:0.1.1,,./yarn.lock/ansi-red:0.1.1
ansi-regex:2.1.1,,10,ansi-regex:2.1.1,,./yarn.lock/ansi-regex:2.1.1
ansi-regex:3.0.0,,10,ansi-regex:3.0.0,"sonatype-2021-1169, CVE-2021-3807",./yarn.lock/ansi-regex:3.0.0
