Competitor Component Name (4),Competitor CVEs,Confidence,Sonatype Component Name (552),Sonatype CVEs,Sonatype Occurence Path
,,,MarkupSafe:(cp36-cp36m-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-manylinux1_i686:27022c65a9a99f9879ca
,,,MarkupSafe:(cp36-cp36m-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-manylinux1_x86_64:05c0fc2ceb9aa8e8cd00
,,,MarkupSafe:(cp36-cp36m-manylinux2010_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-manylinux2010_i686:cb2725ee6d5c3da96054
,,,MarkupSafe:(cp36-cp36m-manylinux2010_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-manylinux2010_x86_64:bf4a793ac547cd38f9af
,,,MarkupSafe:(cp36-cp36m-manylinux2014_aarch64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-manylinux2014_aarch64:e0b6268b2437ba5f364a
,,,MarkupSafe:(cp36-cp36m-win32):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-win32:225a8da1fea32f4b948c
,,,MarkupSafe:(cp36-cp36m-win_amd64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-win_amd64:bab0d6dfa83f230c705d
,,,MarkupSafe:(cp37-cp37m-macosx_10_6_intel):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-macosx_10_6_intel:df361cae4a084adb7533
,,,MarkupSafe:(cp37-cp37m-macosx_10_9_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-macosx_10_9_x86_64:e0fa04e585ef046809a7
,,,MarkupSafe:(cp37-cp37m-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-manylinux1_i686:1a2823fa5bd3e47942b1
,,,MarkupSafe:(cp37-cp37m-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-manylinux1_x86_64:15f2b97b71516c8d6ac8
,,,MarkupSafe:(cp37-cp37m-manylinux2010_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-manylinux2010_i686:2ed28ee02203a41e6b14
,,,MarkupSafe:(cp37-cp37m-manylinux2010_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-manylinux2010_x86_64:9568625719a9f1b48002
,,,MarkupSafe:(cp37-cp37m-manylinux2014_aarch64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-manylinux2014_aarch64:5068376b3dd55c02b90c
,,,MarkupSafe:(cp37-cp37m-win32):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-win32:ea6231ad3c0549f577a8
,,,MarkupSafe:(cp37-cp37m-win_amd64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp37-cp37m-win_amd64:3a13b3d75c8f3a38cc3e
,,,MarkupSafe:(cp38-cp38-macosx_10_9_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-macosx_10_9_x86_64:fabc580af11f1b7dece8
,,,MarkupSafe:(cp38-cp38-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-manylinux1_i686:8396583a773a7b35cc43
